Unofficial Results Add on #6 - Projected Outstanding Ballots 85,000      (Next Update 3/11/20 5PM or later)
Contest Name,Number Of Precincts,Precincts Reported,Ballots Cast
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","1862","1862","264601"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","1862","1862","432220"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","1862","1862","19849"
"PRESIDENT OF THE UNITED STATES  PEACE & FREEDOM","1862","1862","806"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","1862","1862","5239"
"PRESIDENT OF THE UNITED STATES  GREEN","1862","1862","1582"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT","326","326","153658"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","375","375","171586"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT","267","267","74699"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","435","435","217512"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","459","459","188922"
"STATE SENATOR 39TH DISTRICT","605","605","285667"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT","285","285","112170"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT","201","201","94522"
"MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT","249","249","129222"
"MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT","308","308","149038"
"MEMBER OF THE STATE ASSEMBLY 78TH DISTRICT","304","304","144840"
"MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT","288","288","106937"
"MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT","227","227","69648"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","285","285","36816"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","285","285","54836"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","201","201","33869"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","201","201","41270"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","249","249","56854"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","249","249","44464"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 77TH ASSEMBLY DISTRICT","308","308","63249"
