Unofficial Results Add on #6 - Projected Outstanding Ballots 85,000      (Next Update 3/11/20 5PM or later)
Contest Name,Number Of Precincts,Precincts Reported,Ballots Cast
"REPUBLICAN COUNTY CENTRAL COMMITTEE 77TH ASSEMBLY DISTRICT","308","308","49648"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 78TH ASSEMBLY DISTRICT","304","304","81106"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 78TH ASSEMBLY DISTRICT","304","304","30867"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 79TH ASSEMBLY DISTRICT","288","288","56052"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 79TH ASSEMBLY DISTRICT","288","288","28687"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 80TH ASSEMBLY DISTRICT","227","227","40577"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 80TH ASSEMBLY DISTRICT","227","227","14829"
"PEACE & FREEDOM COUNTY CENTRAL COMMITTEE 5TH SUPERVISORIAL DISTRICT","350","350","132"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 18","1862","1862","806377"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 22","1862","1862","806377"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 30","1862","1862","806377"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 36","1862","1862","806377"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT TRUSTEE AREA 3","51","51","14946"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT TRUSTEE AREA 4","76","76","30301"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT B","125","125","60730"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT D","127","127","41318"
"SAN DIEGO UNIFIED SCHOOL DISTRICT A","111","111","55259"
"SAN DIEGO UNIFIED SCHOOL DISTRICT D","124","124","49792"
"SAN DIEGO UNIFIED SCHOOL DISTRICT E","108","108","30879"
"MEMBER  BOARD OF SUPERVISORS DISTRICT NO. 1","322","322","106349"
"MEMBER  BOARD OF SUPERVISORS DISTRICT NO. 2","422","422","175788"
"MEMBER  BOARD OF SUPERVISORS DISTRICT NO. 3","376","376","182458"
"CITY OF CARLSBAD MEMBER  CITY COUNCIL DISTRICT NO. 1","15","15","8560"
"CITY OF CHULA VISTA MEMBER  CITY COUNCIL DISTRICT NO. 3","33","33","13679"
"CITY OF CHULA VISTA MEMBER  CITY COUNCIL DISTRICT NO. 4","25","25","9687"
"CITY OF SAN DIEGO MAYOR","796","796","340126"
"CITY OF SAN DIEGO CITY ATTORNEY","796","796","340126"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 1","94","94","47085"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 3","103","103","51302"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 5","91","91","50036"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 7","103","103","44285"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 9","83","83","23077"
"SD County MEASURE A - SAN DIEGO COUNTY AMD. TO SD COUNTY GENERAL PLAN","1862","1862","806377"
"SD County - MEASURE B - NEWLAND SIERRA AMD. TO SD COUNTY GENERAL PLAN","1862","1862","806377"
"SD City - MEASURE C - INITIATIVE MEASURE - HOTEL VISITOR TAX INCREASE (REQ 2/3)","796","796","340126"
"SD City - MEASURE D - CHTR. AMD. REGARDING AUDIT CMTE. & TERM OF CITY AUDITOR","796","796","340126"
"CV City - MEASURE E - PROJECT LABOR AGREEMENTS","122","122","51434"
"Del Mar City - MEASURE G - ADOPT OF MARISOL SPECIFIC PLAN","5","5","2198"
"Lemon Grove City - MEASURE S - PROPOSED 3/4 CENT TRANSACTIONS AND USE TAX","14","14","5851"
"National City - MEASURE H - SHALL CITY CLERK & TREASURER BE APPOINTED","25","25","7228"
"National City - MEASURE J - REPEAL ORD. 2019-2463 (PET SALES)","25","25","7228"
"Oceanside City - MEASURE K - SHALL CITY CLERK & TREASURER BE APPOINTED BY CITY MANAGER","87","87","44322"
"Cajon Valley School -  MEASURE L - $220M OF BONDS (REQ 55%)","103","103","35225"
"Chula Vista School - MEASURE M - $300M OF BONDS (REQ 55%)","159","159","60045"
"Escondido Union School - MEASURE Q - $205M IN BONDS (REQ 55%)","89","89","38334"
"Lakeside Union School - MEASURE R - $33M OF BONDS (REQ 55%)","27","27","11891"
"Poway Unified School - MEASURE P - $448M IN BONDS (REQ 55%)","124","124","62771"
"San Ysidro School - MEASURE T - $52.985M OF BONDS (REQ 55%)","22","22","4335"
"San Ysidro School - MEASURE U - $55.5M OF BONDS (REQ 55%)","22","22","4335"
"PROP 13 - AUTHORIZES $15B IN BONDS FOR FACILITY REPAIR IN CA. SCHOOLS","1862","1862","806377"
