Unofficial Results Add on #6 - Projected Outstanding Ballots 85,000      (Next Update 3/11/20 5PM or later)
Contest Name,Candidate Name,Party,Early Voting Votes,Mail Ballots Votes,Election Day Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast
"Total Precincts Reported","1862"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","ROBERT ARDINI","1","0","0","1017","0","1017","1862","1862","264601"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","JOE WALSH","1","0","0","5219","0","5219","1862","1862","264601"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","BILL WELD","1","0","0","6306","0","6306","1862","1862","264601"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","ROQUE ""ROCKY"" DE LA FUENTE","1","0","0","2863","0","2863","1862","1862","264601"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","MATTHEW JOHN MATERN","1","0","0","963","0","963","1862","1862","264601"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","ZOLTAN G. ISTVAN","1","0","0","818","0","818","1862","1862","264601"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","DONALD J. TRUMP","1","0","0","229864","0","229864","1862","1862","264601"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","JULIÃN CASTRO","7","0","0","735","0","735","1862","1862","432220"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","MICHAEL A. ELLINGER","7","0","0","142","0","142","1862","1862","432220"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","ELIZABETH WARREN","7","0","0","56939","0","56939","1862","1862","432220"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","MARIANNE WILLIAMSON","7","0","0","344","0","344","1862","1862","432220"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","ANDREW YANG","7","0","0","2557","0","2557","1862","1862","432220"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","ROQUE ""ROCKY"" DE LA FUENTE III","7","0","0","379","0","379","1862","1862","432220"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","JOHN K. DELANEY","7","0","0","182","0","182","1862","1862","432220"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","AMY KLOBUCHAR","7","0","0","11161","0","11161","1862","1862","432220"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","BERNIE SANDERS","7","0","0","141384","0","141384","1862","1862","432220"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","JOE SESTAK","7","0","0","141","0","141","1862","1862","432220"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","TOM STEYER","7","0","0","7834","0","7834","1862","1862","432220"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","DEVAL PATRICK","7","0","0","97","0","97","1862","1862","432220"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","MICHAEL BENNET","7","0","0","302","0","302","1862","1862","432220"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","MICHAEL R. BLOOMBERG","7","0","0","55466","0","55466","1862","1862","432220"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","MOSIE BOYD","7","0","0","90","0","90","1862","1862","432220"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","CORY BOOKER","7","0","0","360","0","360","1862","1862","432220"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","PETE BUTTIGIEG","7","0","0","25277","0","25277","1862","1862","432220"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","JOSEPH R. BIDEN","7","0","0","119773","0","119773","1862","1862","432220"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","TULSI GABBARD","7","0","0","2694","0","2694","1862","1862","432220"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","MARK STEWART GREENSTEIN","7","0","0","185","0","185","1862","1862","432220"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","PHIL COLLINS","2","0","0","1344","0","1344","1862","1862","19849"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","ROQUE ""ROCKY"" DE LA FUENTE","2","0","0","1315","0","1315","1862","1862","19849"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","CHARLES KRAUT","2","0","0","539","0","539","1862","1862","19849"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","J.R. MYERS","2","0","0","585","0","585","1862","1862","19849"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","DON BLANKENSHIP","2","0","0","772","0","772","1862","1862","19849"
"PRESIDENT OF THE UNITED STATES  PEACE & FREEDOM","HOWIE HAWKINS","5","0","0","151","0","151","1862","1862","806"
"PRESIDENT OF THE UNITED STATES  PEACE & FREEDOM","GLORIA LA RIVA","5","0","0","279","0","279","1862","1862","806"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","KEN ARMSTRONG","4","0","0","210","0","210","1862","1862","5239"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","MAX ABRAMSON","4","0","0","141","0","141","1862","1862","5239"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","SAM ROBB","4","0","0","153","0","153","1862","1862","5239"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","KIM RUFF","4","0","0","172","0","172","1862","1862","5239"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","STEVEN A RICHEY","4","0","0","63","0","63","1862","1862","5239"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","JACOB HORNBERGER","4","0","0","573","0","573","1862","1862","5239"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","SOURAYA FAAS","4","0","0","70","0","70","1862","1862","5239"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","KEENAN WALLACE DUNHAM","4","0","0","36","0","36","1862","1862","5239"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","ADAM KOKESH","4","0","0","157","0","157","1862","1862","5239"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","VERMIN SUPREME","4","0","0","345","0","345","1862","1862","5239"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","JO JORGENSEN","4","0","0","346","0","346","1862","1862","5239"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","DAN BEHRMAN","4","0","0","155","0","155","1862","1862","5239"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","ERIK CHASE GERHARDT","4","0","0","59","0","59","1862","1862","5239"
"PRESIDENT OF THE UNITED STATES  GREEN","DAVID ROLDE","3","0","0","51","0","51","1862","1862","1582"
"PRESIDENT OF THE UNITED STATES  GREEN","HOWIE HAWKINS","3","0","0","288","0","288","1862","1862","1582"
"PRESIDENT OF THE UNITED STATES  GREEN","DARIO HUNTER","3","0","0","188","0","188","1862","1862","1582"
"PRESIDENT OF THE UNITED STATES  GREEN","DENNIS LAMBERT","3","0","0","106","0","106","1862","1862","1582"
"PRESIDENT OF THE UNITED STATES  GREEN","SEDINAM MOYOWASIFZA-CURRY","3","0","0","157","0","157","1862","1862","1582"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT","MIKE LEVIN","7","0","0","87493","0","87493","326","326","153658"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT","BRIAN MARYOTT","1","0","0","61276","0","61276","326","326","153658"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","MARISA CALDERON","7","0","0","8239","0","8239","375","375","171586"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","AMMAR CAMPA-NAJJAR","7","0","0","61357","0","61357","375","375","171586"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","JOSE CORTES","5","0","0","1193","0","1193","375","375","171586"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","HELEN L. HORVATH","6","0","0","909","0","909","375","375","171586"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","NATHAN ""NATE"" WILKINS","1","0","0","3405","0","3405","375","375","171586"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","HENRY ALAN OTA","6","0","0","704","0","704","375","375","171586"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","CARL DEMAIO","1","0","0","34239","0","34239","375","375","171586"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","LUCINDA KWH JAHN","6","0","0","308","0","308","375","375","171586"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","BRIAN W. JONES","1","0","0","18795","0","18795","375","375","171586"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","DARRELL ISSA","1","0","0","37788","0","37788","375","375","171586"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT","JUAN M HIDALGO  JR","1","0","0","20304","0","20304","267","267","74699"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT","JUAN C. VARGAS","7","0","0","52358","0","52358","267","267","74699"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","NANCY L. CASADY","7","0","0","30411","0","30411","435","435","217512"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","RYAN CUNNINGHAM","6","0","0","5037","0","5037","435","435","217512"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","JIM DEBELLO","1","0","0","68649","0","68649","435","435","217512"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","SCOTT PETERS","7","0","0","102637","0","102637","435","435","217512"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","FAMELA RAMOS","1","0","0","13575","0","13575","459","459","188922"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","JOSE CABALLERO","7","0","0","2647","0","2647","459","459","188922"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","TOM WONG","7","0","0","6102","0","6102","459","459","188922"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","JOSEPH R. FOUNTAIN","7","0","0","3008","0","3008","459","459","188922"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","MICHAEL PATRICK ORISTIAN","1","0","0","13597","0","13597","459","459","188922"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","ERIC ROGER KUTNER","7","0","0","587","0","587","459","459","188922"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","SUZETTE SANTORI","7","0","0","1266","0","1266","459","459","188922"
