Unofficial Results Add on #14 - Projected Outstanding Ballots 16,000      (Next Update 3/23/20 5PM or later)
Contest Name,Number Of Precincts,Precincts Reported,Ballots Cast
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","1862","1862","281694"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","1862","1862","487372"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","1862","1862","21604"
"PRESIDENT OF THE UNITED STATES  PEACE & FREEDOM","1862","1862","874"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","1862","1862","5744"
"PRESIDENT OF THE UNITED STATES  GREEN","1862","1862","1674"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT","326","326","167361"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","375","375","184037"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT","267","267","85492"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","435","435","237152"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","459","459","209442"
"STATE SENATOR 39TH DISTRICT","605","605","316573"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT","285","285","120347"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT","201","201","101486"
"MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT","249","249","139422"
"MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT","308","308","160783"
"MEMBER OF THE STATE ASSEMBLY 78TH DISTRICT","304","304","162239"
"MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT","288","288","119292"
"MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT","227","227","79915"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","285","285","40100"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","285","285","58472"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","201","201","37349"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","201","201","43587"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","249","249","62645"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","249","249","46974"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 77TH ASSEMBLY DISTRICT","308","308","69661"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 77TH ASSEMBLY DISTRICT","308","308","52566"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 78TH ASSEMBLY DISTRICT","304","304","92897"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 78TH ASSEMBLY DISTRICT","304","304","33025"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 79TH ASSEMBLY DISTRICT","288","288","64132"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 79TH ASSEMBLY DISTRICT","288","288","30804"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 80TH ASSEMBLY DISTRICT","227","227","47853"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 80TH ASSEMBLY DISTRICT","227","227","16266"
"PEACE & FREEDOM COUNTY CENTRAL COMMITTEE 5TH SUPERVISORIAL DISTRICT","350","350","145"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 18","1862","1862","883484"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 22","1862","1862","883484"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 30","1862","1862","883484"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 36","1862","1862","883484"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT TRUSTEE AREA 3","51","51","16172"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT TRUSTEE AREA 4","76","76","32363"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT B","125","125","65788"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT D","127","127","47392"
"SAN DIEGO UNIFIED SCHOOL DISTRICT A","111","111","60606"
"SAN DIEGO UNIFIED SCHOOL DISTRICT D","124","124","56402"
"SAN DIEGO UNIFIED SCHOOL DISTRICT E","108","108","35252"
"MEMBER  BOARD OF SUPERVISORS DISTRICT NO. 1","322","322","119812"
"MEMBER  BOARD OF SUPERVISORS DISTRICT NO. 2","422","422","190314"
"MEMBER  BOARD OF SUPERVISORS DISTRICT NO. 3","376","376","197223"
"CITY OF CARLSBAD MEMBER  CITY COUNCIL DISTRICT NO. 1","15","15","9264"
"CITY OF CHULA VISTA MEMBER  CITY COUNCIL DISTRICT NO. 3","33","33","15224"
"CITY OF CHULA VISTA MEMBER  CITY COUNCIL DISTRICT NO. 4","25","25","10897"
"CITY OF SAN DIEGO MAYOR","796","796","378973"
