Unofficial Results Add on #14 - Projected Outstanding Ballots 16,000      (Next Update 3/23/20 5PM or later)
Contest Name,Number Of Precincts,Precincts Reported,Ballots Cast
"CITY OF SAN DIEGO CITY ATTORNEY","796","796","378973"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 1","94","94","53119"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 3","103","103","57566"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 5","91","91","53740"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 7","103","103","48405"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 9","83","83","27213"
"SD County MEASURE A - SAN DIEGO COUNTY AMD. TO SD COUNTY GENERAL PLAN","1862","1862","883484"
"SD County - MEASURE B - NEWLAND SIERRA AMD. TO SD COUNTY GENERAL PLAN","1862","1862","883484"
"SD City - MEASURE C - INITIATIVE MEASURE - HOTEL VISITOR TAX INCREASE (REQ 2/3)","796","796","378973"
"SD City - MEASURE D - CHTR. AMD. REGARDING AUDIT CMTE. & TERM OF CITY AUDITOR","796","796","378973"
"CV City - MEASURE E - PROJECT LABOR AGREEMENTS","122","122","57450"
"Del Mar City - MEASURE G - ADOPT OF MARISOL SPECIFIC PLAN","5","5","2384"
"Lemon Grove City - MEASURE S - PROPOSED 3/4 CENT TRANSACTIONS AND USE TAX","14","14","6452"
"National City - MEASURE H - SHALL CITY CLERK & TREASURER BE APPOINTED","25","25","8345"
"National City - MEASURE J - REPEAL ORD. 2019-2463 (PET SALES)","25","25","8345"
"Oceanside City - MEASURE K - SHALL CITY CLERK & TREASURER BE APPOINTED BY CITY MANAGER","87","87","47892"
"Cajon Valley School -  MEASURE L - $220M OF BONDS (REQ 55%)","103","103","37989"
"Chula Vista School - MEASURE M - $300M OF BONDS (REQ 55%)","159","159","67067"
"Escondido Union School - MEASURE Q - $205M IN BONDS (REQ 55%)","89","89","41404"
"Lakeside Union School - MEASURE R - $33M OF BONDS (REQ 55%)","27","27","12770"
"Poway Unified School - MEASURE P - $448M IN BONDS (REQ 55%)","124","124","67376"
"San Ysidro School - MEASURE T - $52.985M OF BONDS (REQ 55%)","22","22","5155"
"San Ysidro School - MEASURE U - $55.5M OF BONDS (REQ 55%)","22","22","5155"
"PROP 13 - AUTHORIZES $15B IN BONDS FOR FACILITY REPAIR IN CA. SCHOOLS","1862","1862","883484"
