Unofficial Results Add on #9 - Projected Outstanding Ballots 60,000      (Next Update 3/16/20 5PM or later)
Contest Name,Number Of Precincts,Precincts Reported,Ballots Cast
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","1862","1862","270481"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","1862","1862","451999"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","1862","1862","20335"
"PRESIDENT OF THE UNITED STATES  PEACE & FREEDOM","1862","1862","826"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","1862","1862","5372"
"PRESIDENT OF THE UNITED STATES  GREEN","1862","1862","1608"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT","326","326","156424"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","375","375","173922"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT","267","267","77418"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","435","435","229107"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","459","459","196767"
"STATE SENATOR 39TH DISTRICT","605","605","302721"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT","285","285","113805"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT","201","201","95780"
"MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT","249","249","131245"
"MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT","308","308","155786"
"MEMBER OF THE STATE ASSEMBLY 78TH DISTRICT","304","304","153658"
"MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT","288","288","111459"
"MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT","227","227","71905"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","285","285","37498"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","285","285","55591"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","201","201","34510"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","201","201","41695"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","249","249","58103"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","249","249","44910"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 77TH ASSEMBLY DISTRICT","308","308","66918"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 77TH ASSEMBLY DISTRICT","308","308","51423"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 78TH ASSEMBLY DISTRICT","304","304","87033"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 78TH ASSEMBLY DISTRICT","304","304","32141"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 79TH ASSEMBLY DISTRICT","288","288","59002"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 79TH ASSEMBLY DISTRICT","288","288","29563"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 80TH ASSEMBLY DISTRICT","227","227","42159"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 80TH ASSEMBLY DISTRICT","227","227","15158"
"PEACE & FREEDOM COUNTY CENTRAL COMMITTEE 5TH SUPERVISORIAL DISTRICT","350","350","133"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 18","1862","1862","833638"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 22","1862","1862","833638"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 30","1862","1862","833638"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 36","1862","1862","833638"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT TRUSTEE AREA 3","51","51","15140"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT TRUSTEE AREA 4","76","76","30775"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT B","125","125","63943"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT D","127","127","43951"
"SAN DIEGO UNIFIED SCHOOL DISTRICT A","111","111","58634"
"SAN DIEGO UNIFIED SCHOOL DISTRICT D","124","124","53045"
"SAN DIEGO UNIFIED SCHOOL DISTRICT E","108","108","32774"
"MEMBER  BOARD OF SUPERVISORS DISTRICT NO. 1","322","322","108647"
"MEMBER  BOARD OF SUPERVISORS DISTRICT NO. 2","422","422","179675"
"MEMBER  BOARD OF SUPERVISORS DISTRICT NO. 3","376","376","189268"
"CITY OF CARLSBAD MEMBER  CITY COUNCIL DISTRICT NO. 1","15","15","8742"
"CITY OF CHULA VISTA MEMBER  CITY COUNCIL DISTRICT NO. 3","33","33","13922"
"CITY OF CHULA VISTA MEMBER  CITY COUNCIL DISTRICT NO. 4","25","25","9909"
"CITY OF SAN DIEGO MAYOR","796","796","360243"
"CITY OF SAN DIEGO CITY ATTORNEY","796","796","360243"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 1","94","94","49999"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 3","103","103","54685"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 5","91","91","52442"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 7","103","103","46944"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 9","83","83","24762"
"SD County MEASURE A - SAN DIEGO COUNTY AMD. TO SD COUNTY GENERAL PLAN","1862","1862","833638"
"SD County - MEASURE B - NEWLAND SIERRA AMD. TO SD COUNTY GENERAL PLAN","1862","1862","833638"
"SD City - MEASURE C - INITIATIVE MEASURE - HOTEL VISITOR TAX INCREASE (REQ 2/3)","796","796","360243"
"SD City - MEASURE D - CHTR. AMD. REGARDING AUDIT CMTE. & TERM OF CITY AUDITOR","796","796","360243"
"CV City - MEASURE E - PROJECT LABOR AGREEMENTS","122","122","52338"
"Del Mar City - MEASURE G - ADOPT OF MARISOL SPECIFIC PLAN","5","5","2235"
"Lemon Grove City - MEASURE S - PROPOSED 3/4 CENT TRANSACTIONS AND USE TAX","14","14","5955"
"National City - MEASURE H - SHALL CITY CLERK & TREASURER BE APPOINTED","25","25","7404"
"National City - MEASURE J - REPEAL ORD. 2019-2463 (PET SALES)","25","25","7404"
"Oceanside City - MEASURE K - SHALL CITY CLERK & TREASURER BE APPOINTED BY CITY MANAGER","87","87","45036"
"Cajon Valley School -  MEASURE L - $220M OF BONDS (REQ 55%)","103","103","35770"
"Chula Vista School - MEASURE M - $300M OF BONDS (REQ 55%)","159","159","61119"
"Escondido Union School - MEASURE Q - $205M IN BONDS (REQ 55%)","89","89","38930"
"Lakeside Union School - MEASURE R - $33M OF BONDS (REQ 55%)","27","27","12030"
"Poway Unified School - MEASURE P - $448M IN BONDS (REQ 55%)","124","124","65117"
"San Ysidro School - MEASURE T - $52.985M OF BONDS (REQ 55%)","22","22","4455"
"San Ysidro School - MEASURE U - $55.5M OF BONDS (REQ 55%)","22","22","4455"
"PROP 13 - AUTHORIZES $15B IN BONDS FOR FACILITY REPAIR IN CA. SCHOOLS","1862","1862","833638"
