Unofficial Results Add on #9 - Projected Outstanding Ballots 60,000      (Next Update 3/16/20 5PM or later)
Contest Name,Candidate Name,Party,Early Voting Votes,Mail Ballots Votes,Election Day Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast
"Total Precincts Reported","1862"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","ERIK CHASE GERHARDT","4","0","0","63","0","63","1862","1862","5372"
"PRESIDENT OF THE UNITED STATES  GREEN","DAVID ROLDE","3","0","0","51","0","51","1862","1862","1608"
"PRESIDENT OF THE UNITED STATES  GREEN","HOWIE HAWKINS","3","0","0","293","0","293","1862","1862","1608"
"PRESIDENT OF THE UNITED STATES  GREEN","DARIO HUNTER","3","0","0","191","0","191","1862","1862","1608"
"PRESIDENT OF THE UNITED STATES  GREEN","DENNIS LAMBERT","3","0","0","109","0","109","1862","1862","1608"
"PRESIDENT OF THE UNITED STATES  GREEN","SEDINAM MOYOWASIFZA-CURRY","3","0","0","163","0","163","1862","1862","1608"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT","MIKE LEVIN","7","0","0","89359","0","89359","326","326","156424"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT","BRIAN MARYOTT","1","0","0","61994","0","61994","326","326","156424"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","MARISA CALDERON","7","0","0","8447","0","8447","375","375","173922"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","AMMAR CAMPA-NAJJAR","7","0","0","62224","0","62224","375","375","173922"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","JOSE CORTES","5","0","0","1229","0","1229","375","375","173922"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","HELEN L. HORVATH","6","0","0","934","0","934","375","375","173922"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","NATHAN ""NATE"" WILKINS","1","0","0","3473","0","3473","375","375","173922"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","HENRY ALAN OTA","6","0","0","720","0","720","375","375","173922"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","CARL DEMAIO","1","0","0","34634","0","34634","375","375","173922"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","LUCINDA KWH JAHN","6","0","0","314","0","314","375","375","173922"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","BRIAN W. JONES","1","0","0","19001","0","19001","375","375","173922"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","DARRELL ISSA","1","0","0","38225","0","38225","375","375","173922"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT","JUAN M HIDALGO  JR","1","0","0","20820","0","20820","267","267","77418"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT","JUAN C. VARGAS","7","0","0","54441","0","54441","267","267","77418"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","NANCY L. CASADY","7","0","0","33169","0","33169","435","435","229107"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","RYAN CUNNINGHAM","6","0","0","5346","0","5346","435","435","229107"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","JIM DEBELLO","1","0","0","71315","0","71315","435","435","229107"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","SCOTT PETERS","7","0","0","107425","0","107425","435","435","229107"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","FAMELA RAMOS","1","0","0","13919","0","13919","459","459","196767"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","JOSE CABALLERO","7","0","0","2800","0","2800","459","459","196767"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","TOM WONG","7","0","0","6462","0","6462","459","459","196767"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","JOSEPH R. FOUNTAIN","7","0","0","3271","0","3271","459","459","196767"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","MICHAEL PATRICK ORISTIAN","1","0","0","13993","0","13993","459","459","196767"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","ERIC ROGER KUTNER","7","0","0","618","0","618","459","459","196767"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","SUZETTE SANTORI","7","0","0","1362","0","1362","459","459","196767"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","CHRIS STODDARD","1","0","0","24653","0","24653","459","459","196767"
