Unofficial Results Add on #16 - Projected Outstanding Ballots 1,500      (Next Update 4/2/20 5PM or later)
Contest Name,Number Of Precincts,Precincts Reported,Ballots Cast
"SAN DIEGO UNIFIED SCHOOL DISTRICT E","108","108","36198"
"MEMBER  BOARD OF SUPERVISORS DISTRICT NO. 1","322","322","123516"
"MEMBER  BOARD OF SUPERVISORS DISTRICT NO. 2","422","422","195252"
"MEMBER  BOARD OF SUPERVISORS DISTRICT NO. 3","376","376","201002"
"CITY OF CARLSBAD MEMBER  CITY COUNCIL DISTRICT NO. 1","15","15","9502"
"CITY OF CHULA VISTA MEMBER  CITY COUNCIL DISTRICT NO. 3","33","33","15702"
"CITY OF CHULA VISTA MEMBER  CITY COUNCIL DISTRICT NO. 4","25","25","11361"
"CITY OF SAN DIEGO MAYOR","796","796","388102"
"CITY OF SAN DIEGO CITY ATTORNEY","796","796","388102"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 1","94","94","55073"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 3","103","103","58816"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 5","91","91","54469"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 7","103","103","49093"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 9","83","83","28674"
"SD County MEASURE A - SAN DIEGO COUNTY AMD. TO SD COUNTY GENERAL PLAN","1862","1862","905128"
"SD County - MEASURE B - NEWLAND SIERRA AMD. TO SD COUNTY GENERAL PLAN","1862","1862","905128"
"SD City - MEASURE C - INITIATIVE MEASURE - HOTEL VISITOR TAX INCREASE (REQ 2/3)","796","796","388102"
"SD City - MEASURE D - CHTR. AMD. REGARDING AUDIT CMTE. & TERM OF CITY AUDITOR","796","796","388102"
"CV City - MEASURE E - PROJECT LABOR AGREEMENTS","122","122","59284"
"Del Mar City - MEASURE G - ADOPT OF MARISOL SPECIFIC PLAN","5","5","2461"
"Lemon Grove City - MEASURE S - PROPOSED 3/4 CENT TRANSACTIONS AND USE TAX","14","14","6712"
"National City - MEASURE H - SHALL CITY CLERK & TREASURER BE APPOINTED","25","25","8660"
"National City - MEASURE J - REPEAL ORD. 2019-2463 (PET SALES)","25","25","8660"
"Oceanside City - MEASURE K - SHALL CITY CLERK & TREASURER BE APPOINTED BY CITY MANAGER","87","87","49103"
"Cajon Valley School -  MEASURE L - $220M OF BONDS (REQ 55%)","103","103","38959"
"Chula Vista School - MEASURE M - $300M OF BONDS (REQ 55%)","159","159","69138"
"Escondido Union School - MEASURE Q - $205M IN BONDS (REQ 55%)","89","89","42481"
"Lakeside Union School - MEASURE R - $33M OF BONDS (REQ 55%)","27","27","13057"
"Poway Unified School - MEASURE P - $448M IN BONDS (REQ 55%)","124","124","68416"
"San Ysidro School - MEASURE T - $52.985M OF BONDS (REQ 55%)","22","22","5413"
"San Ysidro School - MEASURE U - $55.5M OF BONDS (REQ 55%)","22","22","5413"
"PROP 13 - AUTHORIZES $15B IN BONDS FOR FACILITY REPAIR IN CA. SCHOOLS","1862","1862","905128"
