Unofficial Results Add on #16 - Projected Outstanding Ballots 1,500      (Next Update 4/2/20 5PM or later)
Contest Name,Number Of Precincts,Precincts Reported,Ballots Cast
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","1862","1862","285579"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","1862","1862","502735"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","1862","1862","22254"
"PRESIDENT OF THE UNITED STATES  PEACE & FREEDOM","1862","1862","912"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","1862","1862","5884"
"PRESIDENT OF THE UNITED STATES  GREEN","1862","1862","1720"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT","326","326","172329"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","375","375","188111"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT","267","267","88449"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","435","435","241181"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","459","459","215058"
"STATE SENATOR 39TH DISTRICT","605","605","323953"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT","285","285","123031"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT","201","201","103869"
"MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT","249","249","142763"
"MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT","308","308","163279"
"MEMBER OF THE STATE ASSEMBLY 78TH DISTRICT","304","304","166647"
"MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT","288","288","122821"
"MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT","227","227","82718"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","285","285","41255"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","285","285","59385"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","201","201","38485"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","201","201","44185"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","249","249","64550"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","249","249","47643"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 77TH ASSEMBLY DISTRICT","308","308","70917"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 77TH ASSEMBLY DISTRICT","308","308","53047"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 78TH ASSEMBLY DISTRICT","304","304","95828"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 78TH ASSEMBLY DISTRICT","304","304","33416"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 79TH ASSEMBLY DISTRICT","288","288","66389"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 79TH ASSEMBLY DISTRICT","288","288","31303"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 80TH ASSEMBLY DISTRICT","227","227","49729"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 80TH ASSEMBLY DISTRICT","227","227","16600"
"PEACE & FREEDOM COUNTY CENTRAL COMMITTEE 5TH SUPERVISORIAL DISTRICT","350","350","151"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 18","1862","1862","905128"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 22","1862","1862","905128"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 30","1862","1862","905128"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 36","1862","1862","905128"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT TRUSTEE AREA 3","51","51","16727"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT TRUSTEE AREA 4","76","76","32925"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT B","125","125","66731"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT D","127","127","49146"
"SAN DIEGO UNIFIED SCHOOL DISTRICT A","111","111","61754"
"SAN DIEGO UNIFIED SCHOOL DISTRICT D","124","124","57803"
