Unofficial Results Add on #7 - Projected Outstanding Ballots 77,000      (Next Update 3/12/20 5PM or later)
Contest Name,Number Of Precincts,Precincts Reported,Ballots Cast
"Del Mar City - MEASURE G - ADOPT OF MARISOL SPECIFIC PLAN","5","5","2219"
"Lemon Grove City - MEASURE S - PROPOSED 3/4 CENT TRANSACTIONS AND USE TAX","14","14","5935"
"National City - MEASURE H - SHALL CITY CLERK & TREASURER BE APPOINTED","25","25","7349"
"National City - MEASURE J - REPEAL ORD. 2019-2463 (PET SALES)","25","25","7349"
"Oceanside City - MEASURE K - SHALL CITY CLERK & TREASURER BE APPOINTED BY CITY MANAGER","87","87","44725"
"Cajon Valley School -  MEASURE L - $220M OF BONDS (REQ 55%)","103","103","35614"
"Chula Vista School - MEASURE M - $300M OF BONDS (REQ 55%)","159","159","60758"
"Escondido Union School - MEASURE Q - $205M IN BONDS (REQ 55%)","89","89","38754"
"Lakeside Union School - MEASURE R - $33M OF BONDS (REQ 55%)","27","27","11985"
"Poway Unified School - MEASURE P - $448M IN BONDS (REQ 55%)","124","124","63360"
"San Ysidro School - MEASURE T - $52.985M OF BONDS (REQ 55%)","22","22","4393"
"San Ysidro School - MEASURE U - $55.5M OF BONDS (REQ 55%)","22","22","4393"
"PROP 13 - AUTHORIZES $15B IN BONDS FOR FACILITY REPAIR IN CA. SCHOOLS","1862","1862","814693"
