Unofficial Results Add on #15 - Projected Outstanding Ballots 5,000      (Next Update 3/27/20 5PM or later)
Contest Name,Candidate Name,Party,Early Voting Votes,Mail Ballots Votes,Election Day Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast
"Total Precincts Reported","1862"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","ROBERT ARDINI","1","0","0","1102","0","1102","1862","1862","284197"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","JOE WALSH","1","0","0","5521","0","5521","1862","1862","284197"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","BILL WELD","1","0","0","6600","0","6600","1862","1862","284197"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","ROQUE ""ROCKY"" DE LA FUENTE","1","0","0","3112","0","3112","1862","1862","284197"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","MATTHEW JOHN MATERN","1","0","0","1036","0","1036","1862","1862","284197"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","ZOLTAN G. ISTVAN","1","0","0","856","0","856","1862","1862","284197"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","DONALD J. TRUMP","1","0","0","247598","0","247598","1862","1862","284197"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","JULIÃN CASTRO","7","0","0","954","0","954","1862","1862","497049"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","MICHAEL A. ELLINGER","7","0","0","181","0","181","1862","1862","497049"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","ELIZABETH WARREN","7","0","0","63128","0","63128","1862","1862","497049"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","MARIANNE WILLIAMSON","7","0","0","403","0","403","1862","1862","497049"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","ANDREW YANG","7","0","0","2850","0","2850","1862","1862","497049"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","ROQUE ""ROCKY"" DE LA FUENTE III","7","0","0","450","0","450","1862","1862","497049"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","JOHN K. DELANEY","7","0","0","222","0","222","1862","1862","497049"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","AMY KLOBUCHAR","7","0","0","11336","0","11336","1862","1862","497049"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","BERNIE SANDERS","7","0","0","174557","0","174557","1862","1862","497049"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","JOE SESTAK","7","0","0","172","0","172","1862","1862","497049"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","TOM STEYER","7","0","0","8166","0","8166","1862","1862","497049"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","DEVAL PATRICK","7","0","0","107","0","107","1862","1862","497049"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","MICHAEL BENNET","7","0","0","361","0","361","1862","1862","497049"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","MICHAEL R. BLOOMBERG","7","0","0","60804","0","60804","1862","1862","497049"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","MOSIE BOYD","7","0","0","101","0","101","1862","1862","497049"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","CORY BOOKER","7","0","0","400","0","400","1862","1862","497049"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","PETE BUTTIGIEG","7","0","0","25728","0","25728","1862","1862","497049"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","JOSEPH R. BIDEN","7","0","0","137297","0","137297","1862","1862","497049"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","TULSI GABBARD","7","0","0","3006","0","3006","1862","1862","497049"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","MARK STEWART GREENSTEIN","7","0","0","244","0","244","1862","1862","497049"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","PHIL COLLINS","2","0","0","1563","0","1563","1862","1862","21939"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","ROQUE ""ROCKY"" DE LA FUENTE","2","0","0","1499","0","1499","1862","1862","21939"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","CHARLES KRAUT","2","0","0","595","0","595","1862","1862","21939"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","J.R. MYERS","2","0","0","672","0","672","1862","1862","21939"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","DON BLANKENSHIP","2","0","0","888","0","888","1862","1862","21939"
"PRESIDENT OF THE UNITED STATES  PEACE & FREEDOM","HOWIE HAWKINS","5","0","0","160","0","160","1862","1862","893"
"PRESIDENT OF THE UNITED STATES  PEACE & FREEDOM","GLORIA LA RIVA","5","0","0","324","0","324","1862","1862","893"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","KEN ARMSTRONG","4","0","0","238","0","238","1862","1862","5825"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","MAX ABRAMSON","4","0","0","150","0","150","1862","1862","5825"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","SAM ROBB","4","0","0","163","0","163","1862","1862","5825"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","KIM RUFF","4","0","0","189","0","189","1862","1862","5825"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","STEVEN A RICHEY","4","0","0","71","0","71","1862","1862","5825"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","JACOB HORNBERGER","4","0","0","614","0","614","1862","1862","5825"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","SOURAYA FAAS","4","0","0","77","0","77","1862","1862","5825"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","KEENAN WALLACE DUNHAM","4","0","0","44","0","44","1862","1862","5825"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","ADAM KOKESH","4","0","0","175","0","175","1862","1862","5825"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","VERMIN SUPREME","4","0","0","392","0","392","1862","1862","5825"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","JO JORGENSEN","4","0","0","380","0","380","1862","1862","5825"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","DAN BEHRMAN","4","0","0","173","0","173","1862","1862","5825"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","ERIK CHASE GERHARDT","4","0","0","78","0","78","1862","1862","5825"
"PRESIDENT OF THE UNITED STATES  GREEN","DAVID ROLDE","3","0","0","57","0","57","1862","1862","1699"
"PRESIDENT OF THE UNITED STATES  GREEN","HOWIE HAWKINS","3","0","0","304","0","304","1862","1862","1699"
"PRESIDENT OF THE UNITED STATES  GREEN","DARIO HUNTER","3","0","0","208","0","208","1862","1862","1699"
"PRESIDENT OF THE UNITED STATES  GREEN","DENNIS LAMBERT","3","0","0","117","0","117","1862","1862","1699"
"PRESIDENT OF THE UNITED STATES  GREEN","SEDINAM MOYOWASIFZA-CURRY","3","0","0","171","0","171","1862","1862","1699"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT","MIKE LEVIN","7","0","0","97714","0","97714","326","326","170347"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT","BRIAN MARYOTT","1","0","0","65432","0","65432","326","326","170347"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","MARISA CALDERON","7","0","0","9763","0","9763","375","375","186513"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","AMMAR CAMPA-NAJJAR","7","0","0","66640","0","66640","375","375","186513"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","JOSE CORTES","5","0","0","1527","0","1527","375","375","186513"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","HELEN L. HORVATH","6","0","0","1049","0","1049","375","375","186513"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","NATHAN ""NATE"" WILKINS","1","0","0","3764","0","3764","375","375","186513"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","HENRY ALAN OTA","6","0","0","810","0","810","375","375","186513"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","CARL DEMAIO","1","0","0","36517","0","36517","375","375","186513"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","LUCINDA KWH JAHN","6","0","0","362","0","362","375","375","186513"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","BRIAN W. JONES","1","0","0","20067","0","20067","375","375","186513"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","DARRELL ISSA","1","0","0","40344","0","40344","375","375","186513"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT","JUAN M HIDALGO  JR","1","0","0","22750","0","22750","267","267","87359"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT","JUAN C. VARGAS","7","0","0","61621","0","61621","267","267","87359"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","NANCY L. CASADY","7","0","0","35947","0","35947","435","435","239342"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","RYAN CUNNINGHAM","6","0","0","5620","0","5620","435","435","239342"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","JIM DEBELLO","1","0","0","73235","0","73235","435","435","239342"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","SCOTT PETERS","7","0","0","110921","0","110921","435","435","239342"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","FAMELA RAMOS","1","0","0","14847","0","14847","459","459","212953"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","JOSE CABALLERO","7","0","0","3168","0","3168","459","459","212953"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","TOM WONG","7","0","0","7138","0","7138","459","459","212953"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","JOSEPH R. FOUNTAIN","7","0","0","3950","0","3950","459","459","212953"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","MICHAEL PATRICK ORISTIAN","1","0","0","14668","0","14668","459","459","212953"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","ERIC ROGER KUTNER","7","0","0","721","0","721","459","459","212953"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","SUZETTE SANTORI","7","0","0","1590","0","1590","459","459","212953"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","CHRIS STODDARD","1","0","0","25786","0","25786","459","459","212953"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","ANNETTE MEZA","7","0","0","4351","0","4351","459","459","212953"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","SARA JACOBS","7","0","0","57688","0","57688","459","459","212953"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","JOAQUÍN VÃZQUEZ","7","0","0","3009","0","3009","459","459","212953"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","JOHN BROOKS","7","0","0","2771","0","2771","459","459","212953"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","FERNANDO GARCIA","6","0","0","1780","0","1780","459","459","212953"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","JANESSA GOLDBECK","7","0","0","16857","0","16857","459","459","212953"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","GEORGETTE GÓMEZ","7","0","0","39595","0","39595","459","459","212953"
"STATE SENATOR 39TH DISTRICT","TONI ATKINS","7","0","0","210169","0","210169","605","605","320871"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT","LIZ ""ELIZABETH"" LAVERTU","7","0","0","44439","0","44439","285","285","121938"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT","RANDY VOEPEL","1","0","0","69437","0","69437","285","285","121938"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT","KAREN ""KATE"" SCHWARTZ","7","0","0","36993","0","36993","201","201","102962"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT","MARIE WALDRON","1","0","0","52540","0","52540","201","201","102962"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT","ROGER GARCIA","7","0","0","5278","0","5278","201","201","102962"
