Unofficial Results Add on #8 - Projected Outstanding Ballots 70,000      (Next Update 3/13/20 5PM or later)
Contest Name,Candidate Name,Party,Early Voting Votes,Mail Ballots Votes,Election Day Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast
"Total Precincts Reported","1862"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","ROBERT ARDINI","1","0","0","1030","0","1030","1862","1862","268673"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","JOE WALSH","1","0","0","5281","0","5281","1862","1862","268673"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","BILL WELD","1","0","0","6372","0","6372","1862","1862","268673"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","ROQUE ""ROCKY"" DE LA FUENTE","1","0","0","2907","0","2907","1862","1862","268673"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","MATTHEW JOHN MATERN","1","0","0","978","0","978","1862","1862","268673"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","ZOLTAN G. ISTVAN","1","0","0","823","0","823","1862","1862","268673"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","DONALD J. TRUMP","1","0","0","233572","0","233572","1862","1862","268673"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","JULIÃN CASTRO","7","0","0","760","0","760","1862","1862","443783"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","MICHAEL A. ELLINGER","7","0","0","145","0","145","1862","1862","443783"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","ELIZABETH WARREN","7","0","0","58172","0","58172","1862","1862","443783"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","MARIANNE WILLIAMSON","7","0","0","351","0","351","1862","1862","443783"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","ANDREW YANG","7","0","0","2604","0","2604","1862","1862","443783"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","ROQUE ""ROCKY"" DE LA FUENTE III","7","0","0","384","0","384","1862","1862","443783"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","JOHN K. DELANEY","7","0","0","184","0","184","1862","1862","443783"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","AMY KLOBUCHAR","7","0","0","11227","0","11227","1862","1862","443783"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","BERNIE SANDERS","7","0","0","146618","0","146618","1862","1862","443783"
