Unofficial Results Add on #8 - Projected Outstanding Ballots 70,000      (Next Update 3/13/20 5PM or later)
Contest Name,Number Of Precincts,Precincts Reported,Ballots Cast
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","1862","1862","268673"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","1862","1862","443783"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","1862","1862","20109"
"PRESIDENT OF THE UNITED STATES  PEACE & FREEDOM","1862","1862","818"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","1862","1862","5311"
"PRESIDENT OF THE UNITED STATES  GREEN","1862","1862","1597"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT","326","326","156460"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","375","375","173897"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT","267","267","76422"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","435","435","223806"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","459","459","192401"
"STATE SENATOR 39TH DISTRICT","605","605","293484"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT","285","285","113708"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT","201","201","95764"
"MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT","249","249","131331"
"MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT","308","308","153180"
"MEMBER OF THE STATE ASSEMBLY 78TH DISTRICT","304","304","148717"
"MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT","288","288","109023"
"MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT","227","227","71263"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","285","285","37447"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","285","285","55563"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","201","201","34503"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","201","201","41691"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","249","249","58138"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","249","249","44938"
