Unofficial Results Add on #8 - Projected Outstanding Ballots 70,000      (Next Update 3/13/20 5PM or later)
Contest Name,Number Of Precincts,Precincts Reported,Ballots Cast
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 77TH ASSEMBLY DISTRICT","308","308","65556"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 77TH ASSEMBLY DISTRICT","308","308","50733"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 78TH ASSEMBLY DISTRICT","304","304","83688"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 78TH ASSEMBLY DISTRICT","304","304","31478"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 79TH ASSEMBLY DISTRICT","288","288","57396"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 79TH ASSEMBLY DISTRICT","288","288","29162"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 80TH ASSEMBLY DISTRICT","227","227","41695"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 80TH ASSEMBLY DISTRICT","227","227","15108"
"PEACE & FREEDOM COUNTY CENTRAL COMMITTEE 5TH SUPERVISORIAL DISTRICT","350","350","133"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 18","1862","1862","822986"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 22","1862","1862","822986"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 30","1862","1862","822986"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 36","1862","1862","822986"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT TRUSTEE AREA 3","51","51","15134"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT TRUSTEE AREA 4","76","76","30774"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT B","125","125","61976"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT D","127","127","42307"
"SAN DIEGO UNIFIED SCHOOL DISTRICT A","111","111","56802"
"SAN DIEGO UNIFIED SCHOOL DISTRICT D","124","124","50957"
"SAN DIEGO UNIFIED SCHOOL DISTRICT E","108","108","31619"
"MEMBER  BOARD OF SUPERVISORS DISTRICT NO. 1","322","322","108532"
"MEMBER  BOARD OF SUPERVISORS DISTRICT NO. 2","422","422","178499"
"MEMBER  BOARD OF SUPERVISORS DISTRICT NO. 3","376","376","187414"
"CITY OF CARLSBAD MEMBER  CITY COUNCIL DISTRICT NO. 1","15","15","8741"
"CITY OF CHULA VISTA MEMBER  CITY COUNCIL DISTRICT NO. 3","33","33","13915"
"CITY OF CHULA VISTA MEMBER  CITY COUNCIL DISTRICT NO. 4","25","25","9900"
"CITY OF SAN DIEGO MAYOR","796","796","349661"
"CITY OF SAN DIEGO CITY ATTORNEY","796","796","349661"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 1","94","94","49163"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 3","103","103","52441"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 5","91","91","52014"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 7","103","103","45109"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 9","83","83","23750"
"SD County MEASURE A - SAN DIEGO COUNTY AMD. TO SD COUNTY GENERAL PLAN","1862","1862","822986"
"SD County - MEASURE B - NEWLAND SIERRA AMD. TO SD COUNTY GENERAL PLAN","1862","1862","822986"
"SD City - MEASURE C - INITIATIVE MEASURE - HOTEL VISITOR TAX INCREASE (REQ 2/3)","796","796","349661"
"SD City - MEASURE D - CHTR. AMD. REGARDING AUDIT CMTE. & TERM OF CITY AUDITOR","796","796","349661"
"CV City - MEASURE E - PROJECT LABOR AGREEMENTS","122","122","52311"
"Del Mar City - MEASURE G - ADOPT OF MARISOL SPECIFIC PLAN","5","5","2235"
"Lemon Grove City - MEASURE S - PROPOSED 3/4 CENT TRANSACTIONS AND USE TAX","14","14","5954"
"National City - MEASURE H - SHALL CITY CLERK & TREASURER BE APPOINTED","25","25","7395"
"National City - MEASURE J - REPEAL ORD. 2019-2463 (PET SALES)","25","25","7395"
"Oceanside City - MEASURE K - SHALL CITY CLERK & TREASURER BE APPOINTED BY CITY MANAGER","87","87","45123"
"Cajon Valley School -  MEASURE L - $220M OF BONDS (REQ 55%)","103","103","35764"
"Chula Vista School - MEASURE M - $300M OF BONDS (REQ 55%)","159","159","61091"
"Escondido Union School - MEASURE Q - $205M IN BONDS (REQ 55%)","89","89","38922"
"Lakeside Union School - MEASURE R - $33M OF BONDS (REQ 55%)","27","27","12030"
"Poway Unified School - MEASURE P - $448M IN BONDS (REQ 55%)","124","124","64860"
"San Ysidro School - MEASURE T - $52.985M OF BONDS (REQ 55%)","22","22","4448"
"San Ysidro School - MEASURE U - $55.5M OF BONDS (REQ 55%)","22","22","4448"
"PROP 13 - AUTHORIZES $15B IN BONDS FOR FACILITY REPAIR IN CA. SCHOOLS","1862","1862","822986"
