Unofficial Results Add on #4 - Projected Outstanding Ballots 150,000      (Next Update 3/9/20 5PM or later)
Contest Name,Candidate Name,Party,Early Voting Votes,Mail Ballots Votes,Election Day Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast
"Total Precincts Reported","1862"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","ROBERT ARDINI","1","0","0","920","0","920","1862","1862","244693"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","JOE WALSH","1","0","0","4813","0","4813","1862","1862","244693"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","BILL WELD","1","0","0","5799","0","5799","1862","1862","244693"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","ROQUE ""ROCKY"" DE LA FUENTE","1","0","0","2631","0","2631","1862","1862","244693"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","MATTHEW JOHN MATERN","1","0","0","881","0","881","1862","1862","244693"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","ZOLTAN G. ISTVAN","1","0","0","743","0","743","1862","1862","244693"
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","DONALD J. TRUMP","1","0","0","212961","0","212961","1862","1862","244693"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","JULIÃN CASTRO","7","0","0","676","0","676","1862","1862","392003"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","MICHAEL A. ELLINGER","7","0","0","133","0","133","1862","1862","392003"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","ELIZABETH WARREN","7","0","0","51192","0","51192","1862","1862","392003"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","MARIANNE WILLIAMSON","7","0","0","325","0","325","1862","1862","392003"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","ANDREW YANG","7","0","0","2364","0","2364","1862","1862","392003"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","ROQUE ""ROCKY"" DE LA FUENTE III","7","0","0","366","0","366","1862","1862","392003"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","JOHN K. DELANEY","7","0","0","174","0","174","1862","1862","392003"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","AMY KLOBUCHAR","7","0","0","10853","0","10853","1862","1862","392003"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","BERNIE SANDERS","7","0","0","125300","0","125300","1862","1862","392003"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","JOE SESTAK","7","0","0","132","0","132","1862","1862","392003"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","TOM STEYER","7","0","0","7527","0","7527","1862","1862","392003"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","DEVAL PATRICK","7","0","0","89","0","89","1862","1862","392003"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","MICHAEL BENNET","7","0","0","274","0","274","1862","1862","392003"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","MICHAEL R. BLOOMBERG","7","0","0","51909","0","51909","1862","1862","392003"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","MOSIE BOYD","7","0","0","88","0","88","1862","1862","392003"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","CORY BOOKER","7","0","0","343","0","343","1862","1862","392003"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","PETE BUTTIGIEG","7","0","0","24536","0","24536","1862","1862","392003"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","JOSEPH R. BIDEN","7","0","0","107356","0","107356","1862","1862","392003"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","TULSI GABBARD","7","0","0","2459","0","2459","1862","1862","392003"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","MARK STEWART GREENSTEIN","7","0","0","173","0","173","1862","1862","392003"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","PHIL COLLINS","2","0","0","1248","0","1248","1862","1862","18095"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","ROQUE ""ROCKY"" DE LA FUENTE","2","0","0","1221","0","1221","1862","1862","18095"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","CHARLES KRAUT","2","0","0","500","0","500","1862","1862","18095"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","J.R. MYERS","2","0","0","536","0","536","1862","1862","18095"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","DON BLANKENSHIP","2","0","0","729","0","729","1862","1862","18095"
"PRESIDENT OF THE UNITED STATES  PEACE & FREEDOM","HOWIE HAWKINS","5","0","0","128","0","128","1862","1862","685"
"PRESIDENT OF THE UNITED STATES  PEACE & FREEDOM","GLORIA LA RIVA","5","0","0","239","0","239","1862","1862","685"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","KEN ARMSTRONG","4","0","0","190","0","190","1862","1862","4718"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","MAX ABRAMSON","4","0","0","130","0","130","1862","1862","4718"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","SAM ROBB","4","0","0","142","0","142","1862","1862","4718"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","KIM RUFF","4","0","0","158","0","158","1862","1862","4718"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","STEVEN A RICHEY","4","0","0","61","0","61","1862","1862","4718"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","JACOB HORNBERGER","4","0","0","512","0","512","1862","1862","4718"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","SOURAYA FAAS","4","0","0","62","0","62","1862","1862","4718"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","KEENAN WALLACE DUNHAM","4","0","0","33","0","33","1862","1862","4718"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","ADAM KOKESH","4","0","0","142","0","142","1862","1862","4718"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","VERMIN SUPREME","4","0","0","316","0","316","1862","1862","4718"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","JO JORGENSEN","4","0","0","308","0","308","1862","1862","4718"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","DAN BEHRMAN","4","0","0","140","0","140","1862","1862","4718"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","ERIK CHASE GERHARDT","4","0","0","58","0","58","1862","1862","4718"
"PRESIDENT OF THE UNITED STATES  GREEN","DAVID ROLDE","3","0","0","45","0","45","1862","1862","1403"
"PRESIDENT OF THE UNITED STATES  GREEN","HOWIE HAWKINS","3","0","0","256","0","256","1862","1862","1403"
"PRESIDENT OF THE UNITED STATES  GREEN","DARIO HUNTER","3","0","0","162","0","162","1862","1862","1403"
"PRESIDENT OF THE UNITED STATES  GREEN","DENNIS LAMBERT","3","0","0","94","0","94","1862","1862","1403"
"PRESIDENT OF THE UNITED STATES  GREEN","SEDINAM MOYOWASIFZA-CURRY","3","0","0","139","0","139","1862","1862","1403"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT","MIKE LEVIN","7","0","0","79971","0","79971","326","326","140917"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT","BRIAN MARYOTT","1","0","0","56579","0","56579","326","326","140917"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","MARISA CALDERON","7","0","0","7412","0","7412","375","375","157634"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","AMMAR CAMPA-NAJJAR","7","0","0","55794","0","55794","375","375","157634"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","JOSE CORTES","5","0","0","1043","0","1043","375","375","157634"
