Unofficial Results Add on #4 - Projected Outstanding Ballots 150,000      (Next Update 3/9/20 5PM or later)
Contest Name,Number Of Precincts,Precincts Reported,Ballots Cast
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","1862","1862","244693"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","1862","1862","392003"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","1862","1862","18095"
"PRESIDENT OF THE UNITED STATES  PEACE & FREEDOM","1862","1862","685"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","1862","1862","4718"
"PRESIDENT OF THE UNITED STATES  GREEN","1862","1862","1403"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT","326","326","140917"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","375","375","157634"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT","267","267","66158"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","435","435","197728"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","459","459","171937"
"STATE SENATOR 39TH DISTRICT","605","605","261648"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT","285","285","103397"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT","201","201","85998"
"MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT","249","249","118418"
"MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT","308","308","135829"
"MEMBER OF THE STATE ASSEMBLY 78TH DISTRICT","304","304","132061"
"MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT","288","288","97441"
"MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT","227","227","61230"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","285","285","33591"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","285","285","50938"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","201","201","30344"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","201","201","38199"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","249","249","51778"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","249","249","41078"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 77TH ASSEMBLY DISTRICT","308","308","57092"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 77TH ASSEMBLY DISTRICT","308","308","45733"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 78TH ASSEMBLY DISTRICT","304","304","73373"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 78TH ASSEMBLY DISTRICT","304","304","28596"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 79TH ASSEMBLY DISTRICT","288","288","50584"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 79TH ASSEMBLY DISTRICT","288","288","26694"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 80TH ASSEMBLY DISTRICT","227","227","35349"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 80TH ASSEMBLY DISTRICT","227","227","13455"
"PEACE & FREEDOM COUNTY CENTRAL COMMITTEE 5TH SUPERVISORIAL DISTRICT","350","350","114"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 18","1862","1862","734374"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 22","1862","1862","734374"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 30","1862","1862","734374"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 36","1862","1862","734374"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT TRUSTEE AREA 3","51","51","13207"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT TRUSTEE AREA 4","76","76","28466"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT B","125","125","55898"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT D","127","127","38084"
"SAN DIEGO UNIFIED SCHOOL DISTRICT A","111","111","50321"
"SAN DIEGO UNIFIED SCHOOL DISTRICT D","124","124","45134"
"SAN DIEGO UNIFIED SCHOOL DISTRICT E","108","108","27988"
"MEMBER  BOARD OF SUPERVISORS DISTRICT NO. 1","322","322","94676"
"MEMBER  BOARD OF SUPERVISORS DISTRICT NO. 2","422","422","162214"
"MEMBER  BOARD OF SUPERVISORS DISTRICT NO. 3","376","376","166343"
"CITY OF CARLSBAD MEMBER  CITY COUNCIL DISTRICT NO. 1","15","15","7636"
"CITY OF CHULA VISTA MEMBER  CITY COUNCIL DISTRICT NO. 3","33","33","12239"
"CITY OF CHULA VISTA MEMBER  CITY COUNCIL DISTRICT NO. 4","25","25","8072"
"CITY OF SAN DIEGO MAYOR","796","796","308756"
"CITY OF SAN DIEGO CITY ATTORNEY","796","796","308756"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 1","94","94","43245"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 3","103","103","46835"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 5","91","91","45072"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 7","103","103","40781"
"CITY OF SAN DIEGO MEMBER  CITY COUNCIL DISTRICT NO. 9","83","83","21159"
"SD County MEASURE A - SAN DIEGO COUNTY AMD. TO SD COUNTY GENERAL PLAN","1862","1862","734374"
"SD County - MEASURE B - NEWLAND SIERRA AMD. TO SD COUNTY GENERAL PLAN","1862","1862","734374"
"SD City - MEASURE C - INITIATIVE MEASURE - HOTEL VISITOR TAX INCREASE (REQ 2/3)","796","796","308756"
"SD City - MEASURE D - CHTR. AMD. REGARDING AUDIT CMTE. & TERM OF CITY AUDITOR","796","796","308756"
"CV City - MEASURE E - PROJECT LABOR AGREEMENTS","122","122","45802"
"Del Mar City - MEASURE G - ADOPT OF MARISOL SPECIFIC PLAN","5","5","2082"
"Lemon Grove City - MEASURE S - PROPOSED 3/4 CENT TRANSACTIONS AND USE TAX","14","14","5248"
"National City - MEASURE H - SHALL CITY CLERK & TREASURER BE APPOINTED","25","25","6504"
"National City - MEASURE J - REPEAL ORD. 2019-2463 (PET SALES)","25","25","6504"
"Oceanside City - MEASURE K - SHALL CITY CLERK & TREASURER BE APPOINTED BY CITY MANAGER","87","87","41103"
"Cajon Valley School -  MEASURE L - $220M OF BONDS (REQ 55%)","103","103","32703"
"Chula Vista School - MEASURE M - $300M OF BONDS (REQ 55%)","159","159","53364"
"Escondido Union School - MEASURE Q - $205M IN BONDS (REQ 55%)","89","89","33949"
"Lakeside Union School - MEASURE R - $33M OF BONDS (REQ 55%)","27","27","11125"
"Poway Unified School - MEASURE P - $448M IN BONDS (REQ 55%)","124","124","56298"
"San Ysidro School - MEASURE T - $52.985M OF BONDS (REQ 55%)","22","22","3591"
"San Ysidro School - MEASURE U - $55.5M OF BONDS (REQ 55%)","22","22","3591"
"PROP 13 - AUTHORIZES $15B IN BONDS FOR FACILITY REPAIR IN CA. SCHOOLS","1862","1862","734374"
